     Src IP Addr,     Dst IP Addr,     bps, Duration,        Date first seen,         Date last seen
  192.168.250.50,    52.114.75.78,     321,  121.560,2020-02-25 08:28:49.610,2020-02-25 08:30:51.170
  23.226.231.226,   217.15.20.194,       1,  534.800,2020-02-25 08:21:57.850,2020-02-25 08:30:52.650
   192.168.250.3,  23.226.231.226,      77,   31.650,2020-02-25 08:30:21.740,2020-02-25 08:30:53.390
   35.239.58.193,   217.15.20.194,       0,    0.000,2020-02-25 08:30:55.310,2020-02-25 08:30:55.310
 192.168.250.247,   35.239.58.193,       0,    0.000,2020-02-25 08:30:55.310,2020-02-25 08:30:55.310
  192.168.250.57,   192.168.250.1,       0,    0.000,2020-02-25 08:30:56.390,2020-02-25 08:30:56.390
   192.168.250.1,  192.168.250.57,       0,    0.000,2020-02-25 08:30:56.390,2020-02-25 08:30:56.390
  23.226.231.226,   217.15.20.194,       0,    0.000,2020-02-25 08:31:00.270,2020-02-25 08:31:00.270
   192.168.250.3,  23.226.231.226,       8,  557.630,2020-02-25 08:21:44.960,2020-02-25 08:31:02.590
   68.232.34.200,   217.15.20.194,     508,  179.490,2020-02-25 08:28:03.740,2020-02-25 08:31:03.230
  192.168.250.50,   68.232.34.200,     117,  179.530,2020-02-25 08:28:03.700,2020-02-25 08:31:03.230
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.830,2020-02-25 08:31:03.830
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.830,2020-02-25 08:31:03.830
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.830,2020-02-25 08:31:03.830
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.830,2020-02-25 08:31:03.830
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.840,2020-02-25 08:31:03.840
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.850,2020-02-25 08:31:03.850
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.860,2020-02-25 08:31:03.860
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.860,2020-02-25 08:31:03.860
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.860,2020-02-25 08:31:03.860
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.860,2020-02-25 08:31:03.860
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.860,2020-02-25 08:31:03.860
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.860,2020-02-25 08:31:03.860
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.870,2020-02-25 08:31:03.870
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.870,2020-02-25 08:31:03.870
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.870,2020-02-25 08:31:03.870
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.870,2020-02-25 08:31:03.870
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.870,2020-02-25 08:31:03.870
