        Date first seen, Duration,     Src IP Addr,     Dst IP Addr,   Bytes
2020-02-25 08:31:31.820,    0.000,  192.168.250.50,   192.168.250.1,     152
2020-02-25 08:31:31.820,    0.000,  192.168.250.50,   192.168.250.1,     228
2020-02-25 08:31:31.850,    0.000,   192.168.250.1,  192.168.250.50,     704
2020-02-25 08:31:31.850,    0.000,   192.168.250.1,  192.168.250.50,    1395
2020-02-25 08:31:31.820,    1.080,  192.168.250.50,   52.114.158.53,    2038
2020-02-25 08:31:33.050,    0.000,  192.168.250.57,   192.168.250.1,     132
2020-02-25 08:31:33.090,    0.000,   192.168.250.1,  192.168.250.57,    1062
2020-02-25 08:31:33.100,    0.000,  192.168.250.57,   192.168.250.1,     304
2020-02-25 08:31:33.100,    0.000,   192.168.250.1,  192.168.250.57,     761
2020-02-25 08:31:33.260,    0.000,  192.168.250.57,   192.168.250.1,     158
2020-02-25 08:31:33.270,    0.000,   192.168.250.1,  192.168.250.57,    1076
2020-02-25 08:31:33.270,    0.000,  192.168.250.57,   192.168.250.1,     317
2020-02-25 08:31:33.270,    0.000,   192.168.250.1,  192.168.250.57,     848
2020-02-25 08:22:23.730,  551.250,  23.226.231.226,   217.15.20.194,     120
2020-02-25 08:30:49.840,   45.220,   77.111.247.11,   217.15.20.194,    9269
2020-02-25 08:30:49.800,   45.260,  192.168.250.50,   77.111.247.11,    2824
2020-02-25 08:31:35.260,    0.000,  192.168.250.50,   173.194.73.95,    3587
2020-02-25 08:31:35.260,    0.000,   173.194.73.95,   217.15.20.194,    4914
2020-02-25 08:31:35.420,    0.000,  192.168.250.50,   192.168.250.1,     168
2020-02-25 08:31:35.420,    0.000,  192.168.250.50,   108.177.14.94,    2879
2020-02-25 08:31:35.440,    0.000,   108.177.14.94,   217.15.20.194,    2804
2020-02-25 08:31:35.480,    0.000,   192.168.250.1,  192.168.250.50,     616
2020-02-25 08:10:59.080, 1238.420,  23.226.231.226,   217.15.20.194,     160
2020-02-25 08:31:37.510,    0.000,   192.168.250.3,   192.168.250.1,     186
2020-02-25 08:31:37.510,    0.000,   192.168.250.1,   192.168.250.3,     218
2020-02-25 08:31:37.520,    0.000,   192.168.250.3,     93.92.192.5,    2969
2020-02-25 08:31:37.520,    0.000,     93.92.192.5,   217.15.20.194,    2528
2020-02-25 08:31:38.610,    0.000,  192.168.250.62,   192.168.250.1,     152
2020-02-25 08:31:38.610,    0.000,   192.168.250.1,  192.168.250.62,     152
2020-02-25 08:31:38.870,    0.000,   141.8.183.229,   217.15.20.194,     150
2020-02-25 08:31:38.870,    0.000, 192.168.250.247,   141.8.183.229,     248
2020-02-25 08:31:38.890,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:31:17.270,   22.040,  192.168.250.27,    77.74.181.50,     618
2020-02-25 08:31:17.290,   22.080,    77.74.181.50,   217.15.20.194,     359
2020-02-25 08:31:40.720,    0.000,   192.168.250.3,   192.168.250.1,     142
2020-02-25 08:31:40.720,    0.000,   192.168.250.1,   192.168.250.3,     322
2020-02-25 08:31:40.720,    0.000,   192.168.250.3,   192.168.250.1,     124
2020-02-25 08:31:40.720,    0.000,   192.168.250.1,   192.168.250.3,     124
2020-02-25 08:31:40.730,    0.000,   192.168.250.3,   192.168.250.1,     140
2020-02-25 08:31:40.730,    0.000,   192.168.250.1,   192.168.250.3,     140
2020-02-25 08:31:41.570,    0.000,    37.9.113.233,   217.15.20.194,     150
2020-02-25 08:31:41.570,    0.000,    37.9.113.233,   217.15.20.194,     150
2020-02-25 08:31:41.570,    0.000, 192.168.250.247,    37.9.113.233,     248
2020-02-25 08:31:41.570,    0.000, 192.168.250.247,    37.9.113.233,     182
2020-02-25 08:31:13.100,   31.090,   192.168.250.3,  23.226.231.226,     308
2020-02-25 08:22:10.780,  574.410,   192.168.250.3,  23.226.231.226,     572
2020-02-25 08:31:45.510,    0.000,  185.115.96.170,   217.15.20.194,     146
2020-02-25 08:31:45.510,    0.000, 192.168.250.247,  185.115.96.170,     244
2020-02-25 08:31:45.520,    0.000,  185.115.96.170,   217.15.20.194,     146
2020-02-25 08:31:45.520,    0.000, 192.168.250.247,  185.115.96.170,     322
2020-02-25 08:31:45.550,    0.000,  192.168.250.27,   192.168.250.1,     130
2020-02-25 08:31:45.550,    0.000,   192.168.250.1,  192.168.250.27,     584
2020-02-25 08:27:59.560,  229.740,  192.168.250.50,   77.111.247.41,    8855
2020-02-25 08:28:08.600,  220.700,   77.111.247.41,   217.15.20.194,    7962
2020-02-25 08:31:51.720,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:31:40.650,   11.080,    92.118.38.58,   217.15.20.194,    1027
2020-02-25 08:31:40.650,   11.080,   192.168.250.3,    92.118.38.58,     972
2020-02-25 08:31:54.400,    0.000,  192.168.250.50,   192.168.250.1,     118
2020-02-25 08:31:54.400,    0.000,  192.168.250.50,   192.168.250.1,     118
2020-02-25 08:31:54.410,    0.000,   192.168.250.1,  192.168.250.50,     468
2020-02-25 08:31:54.410,    0.000,  192.168.250.50,  64.233.162.108,    1185
2020-02-25 08:31:54.420,    0.000,   192.168.250.1,  192.168.250.50,     382
2020-02-25 08:31:54.420,    0.000,  192.168.250.50, 213.180.204.212,    5941
2020-02-25 08:31:54.450,    0.000,  64.233.162.108,   217.15.20.194,    4423
2020-02-25 08:31:54.470,    0.000, 213.180.204.212,   217.15.20.194,  344348
2020-02-25 08:31:54.520,    0.000,  192.168.250.50,   192.168.250.1,     142
2020-02-25 08:31:54.530,    0.000,   192.168.250.1,  192.168.250.50,     512
2020-02-25 07:32:54.720, 3540.110,   192.168.250.1, 255.255.255.255,   27512
2020-02-25 07:32:54.720, 3540.110,   192.168.250.1, 255.255.255.255,   13832
2020-02-25 07:32:54.720, 3540.110,fe80::2..f1:a30f,         ff02::1,   31132
2020-02-25 07:32:54.720, 3540.110,fe80::2..f1:a30f,         ff02::1,   15652
2020-02-25 08:22:36.670,  559.450,  23.226.231.226,   217.15.20.194,     120
2020-02-25 08:31:26.000,   31.590,   192.168.250.3,  23.226.231.226,     308
2020-02-25 08:31:58.560,    0.000,     172.253.4.2,   217.15.20.194,     168
2020-02-25 08:31:58.560,    0.000, 192.168.250.247,     172.253.4.2,     322
2020-02-25 08:09:16.360, 1362.830,   192.168.250.3,  23.226.231.226,    1144
2020-02-25 08:31:54.530,    5.000,    5.45.205.241,   217.15.20.194,    2077
2020-02-25 08:31:54.530,    5.000,  192.168.250.50,    5.45.205.241,     782
2020-02-25 08:32:01.500,    0.000,  192.168.250.50,   192.168.250.1,     134
